tanggal,tahun,bulan,lebaran,harga_beras,harga_gkg,curah_hujan,produksi_padi,inflasi_pangan
2018-01-01,2018,1,0,11546.77,6018.690838608953,434.60,30560.52,1.77
2018-02-01,2018,2,0,12232.14,6014.04276652853,271.10,81111.34,0.43
2018-03-01,2018,3,0,11488.71,5481.646077214895,182.00,85621.12,0.21
2018-04-01,2018,4,0,11400.00,5296.088329172034,110.30,49898.8,-0.54
2018-05-01,2018,5,0,11264.52,5302.680499341295,54.80,40895.61,-0.42
2018-06-01,2018,6,1,11206.67,5396.0662872331,31.00,71465.93,1.08
2018-07-01,2018,7,0,11004.84,5242.689777097369,8.40,53152.58,0.88
2018-08-01,2018,8,0,11000.00,5328.901152245081,17.90,35049.15,-0.99
2018-09-01,2018,9,0,11000.00,5428.20805106736,39.80,17337.82,-1.59
2018-10-01,2018,10,0,11000.00,5494.43567682472,36.90,12907.09,-0.19
2018-11-01,2018,11,0,11538.33,5678.069063815176,457.50,18079.41,1.25
2018-12-01,2018,12,0,11400.00,5741.503898916995,271.00,18856.12,1.28
2019-01-01,2019,1,0,11400.00,5756.0,447.30,50891.32,0.62
2019-02-01,2019,2,0,11364.29,5709.0,343.50,33272.85,-0.86
2019-03-01,2019,3,0,11250.00,5492.0,423.40,155051.86,0.95
2019-04-01,2019,4,0,11116.67,5301.0,214.70,73085.68,1.97
2019-05-01,2019,5,0,11000.00,5267.0,47.30,24783.93,0.85
2019-06-01,2019,6,1,11000.00,5294.0,6.40,41329.9,-0.24
2019-07-01,2019,7,0,11000.00,5368.0,7.40,53987.13,0.7
2019-08-01,2019,8,0,10922.58,5437.0,5.00,47115.33,-0.4
2019-09-01,2019,9,0,10900.00,5505.0,3.30,15223.98,-1.34
2019-10-01,2019,10,0,10900.00,5581.0,35.00,8840.05,-0.45
2019-11-01,2019,11,0,10900.00,5638.0,123.10,9244.21,0.86
2019-12-01,2019,12,0,10929.03,5688.0,311.30,20651.16,1.1
2020-01-01,2020,1,0,11000.00,5756.0,239.70,24309.15,1.39
2020-02-01,2020,2,0,11000.00,5716.0,302.10,26964.98,1.92
2020-03-01,2020,3,0,11000.00,5496.0,548.10,107599.81,-0.19
2020-04-01,2020,4,0,11000.00,5294.0,210.80,117216.88,-0.7
2020-05-01,2020,5,1,11000.00,5268.0,187.30,41119.25,-0.1
2020-06-01,2020,6,0,11000.00,5439.0,72.90,33937.73,1.17
2020-07-01,2020,7,0,11000.00,5457.0,23.00,57103.21,-0.79
2020-08-01,2020,8,0,11000.00,5488.0,43.40,45904.57,-1.01
2020-09-01,2020,9,0,11000.00,5516.0,68.20,23746.73,-0.24
