Tanggal_Loop,Tanggal,Provinsi,Komoditas,Harga_Rp,Perubahan_Harga
2018-01-01,,,,,
2018-01-02,02 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,10900.0,
2018-01-03,03 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2018-01-04,04 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2018-01-05,05 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp100
2018-01-06,,,,,
2018-01-07,,,,,
2018-01-08,08 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,
2018-01-09,09 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-01-10,10 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-01-11,11 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-01-12,12 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-01-13,,,,,
2018-01-14,14 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11750.0,Rp500
2018-01-15,15 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,-Rp350
2018-01-16,16 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp250
2018-01-17,17 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-01-18,18 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-01-19,19 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-01-20,,,,,
2018-01-21,,,,,
2018-01-22,22 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-01-23,23 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11900.0,Rp250
2018-01-24,24 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,11900.0,Rp0
2018-01-25,25 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,12150.0,Rp250
2018-01-26,26 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,12150.0,Rp0
2018-01-27,,,,,
2018-01-28,,,,,
2018-01-29,29 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp100
2018-01-30,30 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-01-31,31 Jan 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-01,01 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-02,02 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-03,,,,,
2018-02-04,,,,,
2018-02-05,05 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-06,06 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-07,07 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-08,08 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-09,09 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-10,,,,,
2018-02-11,,,,,
2018-02-12,12 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-13,13 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-14,14 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-15,15 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-16,,,,,
2018-02-17,,,,,
2018-02-18,,,,,
2018-02-19,19 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,
2018-02-20,20 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-21,21 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-22,22 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-23,23 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,Rp0
2018-02-24,,,,,
2018-02-25,,,,,
2018-02-26,26 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12250.0,
2018-02-27,27 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12000.0,-Rp250
2018-02-28,28 Feb 18,DI Yogyakarta,Beras Kualitas Medium II,12000.0,Rp0
2018-03-01,01 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11750.0,-Rp250
2018-03-02,02 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11750.0,Rp0
2018-03-03,,,,,
2018-03-04,,,,,
2018-03-05,05 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11750.0,Rp0
2018-03-06,06 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11500.0,-Rp250
2018-03-07,07 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11500.0,Rp0
2018-03-08,08 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11500.0,Rp0
2018-03-09,09 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11500.0,Rp0
2018-03-10,,,,,
2018-03-11,,,,,
2018-03-12,12 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11500.0,Rp0
2018-03-13,13 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11500.0,Rp0
2018-03-14,14 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11500.0,Rp0
2018-03-15,15 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11500.0,Rp0
2018-03-16,16 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,-Rp100
2018-03-17,,,,,
2018-03-18,,,,,
2018-03-19,19 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,
2018-03-20,20 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-03-21,21 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-03-22,22 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-03-23,23 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-03-24,,,,,
2018-03-25,,,,,
2018-03-26,26 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-03-27,27 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-03-28,28 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-03-29,29 Mar 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-03-30,,,,,
2018-03-31,,,,,
2018-04-01,,,,,
2018-04-02,02 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,
2018-04-03,03 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-04,04 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-05,05 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-06,06 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-07,,,,,
2018-04-08,,,,,
2018-04-09,09 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-10,10 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-11,11 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-12,12 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-13,13 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-14,,,,,
2018-04-15,,,,,
2018-04-16,16 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-17,17 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-18,18 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-19,19 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-20,20 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-21,,,,,
2018-04-22,,,,,
2018-04-23,23 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-24,24 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-25,25 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-26,26 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-27,27 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-04-28,,,,,
2018-04-29,,,,,
2018-04-30,30 Apr 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,
2018-05-01,,,,,
2018-05-02,02 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,
2018-05-03,03 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-05-04,04 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,-Rp150
2018-05-05,,,,,
2018-05-06,,,,,
2018-05-07,07 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,
