tanggal,tahun,bulan,lebaran,harga_beras,harga_gkg,curah_hujan,produksi_padi,inflasi_pangan
2021-01-01,2021,1,0,11000.00,5317.84,357.44,34832.38,0.71
2021-02-01,2021,2,0,11000.00,5319.55,667.13,120453.56,0.62
2021-03-01,2021,3,0,11000.00,5213.95,217.58,101075.88,0.38
2021-04-01,2021,4,0,10900.00,4882.22,173.56,51600.05,-0.22
2021-05-01,2021,5,1,10750.00,4944.18,130.15,31423.12,-0.17
2021-06-01,2021,6,0,10750.00,4963.86,186.10,65810.96,-0.32
2021-07-01,2021,7,0,10750.00,4873.89,21.88,56962.41,0.36
2021-08-01,2021,8,0,10750.00,5038.23,78.86,30706.6,0.02
2021-09-01,2021,9,0,10750.00,5047.91,166.60,11898.06,1.01
2021-10-01,2021,10,0,10817.74,5015.92,146.03,13387.96,0.23
2021-11-01,2021,11,0,10900.00,5060.46,377.97,17091.55,1.08
2021-12-01,2021,12,0,10940.32,5064.47,333.68,21288.5,2.38
2022-01-01,2022,1,0,11150.00,5389.16,245.91,33919.43,1.16
2022-02-01,2022,2,0,11150.00,5448.76,291.86,120910.32,-1.18
2022-03-01,2022,3,0,11150.00,5350.1,262.55,113289.45,1.39
2022-04-01,2022,4,0,11150.00,5074.26,211.41,48792.23,1.26
2022-05-01,2022,5,1,11150.00,5138.7,201.05,27785.18,1.81
2022-06-01,2022,6,0,11150.00,5148.43,231.53,68442.87,1.74
2022-07-01,2022,7,0,11150.00,5209.92,122.11,59791.3,1.25
2022-08-01,2022,8,0,11150.00,5495.09,73.97,25899.18,1.63
2022-09-01,2022,9,0,11300.00,5801.86,136.50,12024.71,-0.49
2022-10-01,2022,10,0,11400.00,5890.72,255.68,16331.26,-0.53
2022-11-01,2022,11,0,11541.67,5785.25,275.00,16566.49,0.52
2022-12-01,2022,12,0,12150.00,6166.24,387.45,17947.11,1.43
2023-01-01,2023,1,0,12379.03,6500.89,238.53,46289.49,0.51
2023-02-01,2023,2,0,12953.57,6436.33,370.05,131607.51,0.71
2023-03-01,2023,3,0,13150.00,6050.83,216.34,78797.69,1.28
2023-04-01,2023,4,1,13160.00,6105.34,187.27,36281.4,0.29
2023-05-01,2023,5,0,13153.23,6158.07,111.81,37522.95,1.25
2023-06-01,2023,6,0,13150.00,6341.01,90.31,67120.17,0.06
2023-07-01,2023,7,0,13150.00,6388.62,90.99,50426.16,0.43
2023-08-01,2023,8,0,13240.32,6760.35,13.39,28890.97,-0.72
2023-09-01,2023,9,0,13565.00,7386.13,6.30,10919.48,0.60
2023-10-01,2023,10,0,13750.00,7703.16,18.80,14775.5,0.42
2023-11-01,2023,11,0,13835.00,7591.62,218.93,11982.5,1.32
2023-12-01,2023,12,0,13900.00,7720.74,296.90,19499.87,1.20
2024-01-01,2024,1,0,13980.65,8094.84,338.13,24930.09,-0.12
2024-02-01,2024,2,0,15158.62,8591.03,268.18,16033.08,1.17
2024-03-01,2024,3,0,15287.10,8121.16,391.77,54411.27,1.23
2024-04-01,2024,4,1,15150.00,6957.88,315.35,133258.44,-0.70
2024-05-01,2024,5,0,14883.87,6675.62,52.60,54914.94,-0.27
2024-06-01,2024,6,0,14000.00,6859.28,166.51,27408.85,-1.07
2024-07-01,2024,7,0,14000.00,7167.19,32.31,41861.47,-0.65
2024-08-01,2024,8,0,14000.00,7177.29,24.91,32500.22,-0.56
2024-09-01,2024,9,0,14000.00,7094.34,194.74,25680.71,-0.42
2024-10-01,2024,10,0,14000.00,7089.05,120.45,16247.31,0.33
2024-11-01,2024,11,0,13936.67,6984.19,349.01,17335.69,0.55
2024-12-01,2024,12,0,13900.00,7033.87,323.66,8249.7,1.35
2025-01-01,2025,1,0,13900.00,7577,343.18,35465.86,2.24
2025-02-01,2025,2,0,13900.00,7720,278.22,120952.63,0
2025-03-01,2025,3,1,14133.87,7720,282.14,90075.92,0.78
2025-04-01,2025,4,0,14150.00,7656,172.95,54072.56,-0.02
2025-05-01,2025,5,0,14150.00,7717,424.93,30314.74,-0.78
2025-06-01,2025,6,0,14191.67,7855,164.71,65598.6,0.62
2025-07-01,2025,7,0,14400.00,7724,35.50,43050.37,-0.19
2025-08-01,2025,8,0,14400.00,8042,108.65,38641.79,-0.90
2025-09-01,2025,9,0,14208.33,7958,175.28,14731.58,0.21
2025-10-01,2025,10,0,14150.00,7956,324.11,19535.08,0.53
2025-11-01,2025,11,0,14150.00,7869,312.22,19298.89,0.77
