bulan,curah_hujan
2021-01,357.44
2021-02,667.13
2021-03,217.58
2021-04,173.56
2021-05,130.15
2021-06,186.10
2021-07,21.88
2021-08,78.86
2021-09,166.60
2021-10,146.03
2021-11,377.97
2021-12,333.68
2022-01,245.91
2022-02,291.86
2022-03,262.55
2022-04,211.41
2022-05,201.05
2022-06,231.53
2022-07,122.11
2022-08,73.97
2022-09,136.50
2022-10,255.68
2022-11,275.00
2022-12,387.45
2023-01,238.53
2023-02,370.05
2023-03,216.34
2023-04,187.27
2023-05,111.81
2023-06,90.31
2023-07,90.99
2023-08,13.39
2023-09,6.30
2023-10,18.80
2023-11,218.93
2023-12,296.90
2024-01,338.13
2024-02,268.18
2024-03,391.77
2024-04,315.35
2024-05,52.60
2024-06,166.51
2024-07,32.31
2024-08,24.91
2024-09,194.74
2024-10,120.45
2024-11,349.01
2024-12,323.66
2025-01,343.18
2025-02,278.22
2025-03,282.14
2025-04,172.95
2025-05,424.93
2025-06,164.71
2025-07,35.50
2025-08,108.65
2025-09,175.28
2025-10,324.11
2025-11,312.22
2025-12,342.16
2026-01,463.59
2026-02,221.04
