bulan,harga_beras_rata_rata
2021-01,11000.00
2021-02,11000.00
2021-03,11000.00
2021-04,10900.00
2021-05,10750.00
2021-06,10750.00
2021-07,10750.00
2021-08,10750.00
2021-09,10750.00
2021-10,10817.74
2021-11,10900.00
2021-12,10940.32
2022-01,11150.00
2022-02,11150.00
2022-03,11150.00
2022-04,11150.00
2022-05,11150.00
2022-06,11150.00
2022-07,11150.00
2022-08,11150.00
2022-09,11300.00
2022-10,11400.00
2022-11,11541.67
2022-12,12150.00
2023-01,12379.03
2023-02,12953.57
2023-03,13150.00
2023-04,13160.00
2023-05,13153.23
2023-06,13150.00
2023-07,13150.00
2023-08,13240.32
2023-09,13565.00
2023-10,13750.00
2023-11,13835.00
2023-12,13900.00
2024-01,13980.65
2024-02,15158.62
2024-03,15287.10
2024-04,15150.00
2024-05,14883.87
2024-06,14000.00
2024-07,14000.00
2024-08,14000.00
2024-09,14000.00
2024-10,14000.00
2024-11,13936.67
2024-12,13900.00
2025-01,13900.00
2025-02,13900.00
2025-03,14133.87
2025-04,14150.00
2025-05,14150.00
2025-06,14191.67
2025-07,14400.00
2025-08,14400.00
2025-09,14208.33
2025-10,14150.00
2025-11,14150.00
2025-12,14150.00
2026-01,14150.00
2026-02,14150.00
