Tanggal_Loop,Tanggal,Provinsi,Komoditas,Harga_Rp,Perubahan_Harga
2021-01-01,,,,,
2021-01-02,,,,,
2021-01-03,,,,,
2021-01-04,04 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,
2021-01-05,05 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-06,06 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-07,07 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-08,08 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-09,,,,,
2021-01-10,,,,,
2021-01-11,11 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-12,12 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-13,13 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-14,14 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-15,15 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-16,,,,,
2021-01-17,,,,,
2021-01-18,18 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-19,19 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-20,20 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-21,21 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-22,22 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-23,,,,,
2021-01-24,,,,,
2021-01-25,25 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-26,26 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-27,27 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-28,28 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-29,29 Jan 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-01-30,,,,,
2021-01-31,,,,,
2021-02-01,01 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-02,02 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-03,03 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-04,04 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-05,05 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-06,,,,,
2021-02-07,,,,,
2021-02-08,08 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-09,09 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-10,10 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-11,11 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-12,,,,,
2021-02-13,,,,,
2021-02-14,,,,,
2021-02-15,15 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,
2021-02-16,16 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-17,17 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-18,18 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-19,19 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-20,,,,,
2021-02-21,,,,,
2021-02-22,22 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-23,23 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-24,24 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-25,25 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-26,26 Feb 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-02-27,,,,,
2021-02-28,,,,,
2021-03-01,01 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-02,02 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-03,03 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-04,04 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-05,05 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-06,,,,,
2021-03-07,,,,,
2021-03-08,08 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-09,09 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-10,10 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-11,,,,,
2021-03-12,12 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,
2021-03-13,,,,,
2021-03-14,,,,,
2021-03-15,15 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-16,16 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-17,17 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-18,18 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-19,19 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-20,,,,,
2021-03-21,,,,,
2021-03-22,22 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-23,23 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-24,24 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-25,25 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-26,26 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-27,,,,,
2021-03-28,,,,,
2021-03-29,29 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-30,30 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-03-31,31 Mar 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-04-01,01 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2021-04-02,,,,,
2021-04-03,,,,,
2021-04-04,,,,,
2021-04-05,05 Apr 21,DI Yogyakarta,Beras Kualitas Medium II,11000.0,
