bulan,harga_beras_rata_rata
2018-01,11546.77
2018-02,12232.14
2018-03,11488.71
2018-04,11400.00
2018-05,11264.52
2018-06,11206.67
2018-07,11004.84
2018-08,11000.00
2018-09,11000.00
2018-10,11000.00
2018-11,11538.33
2018-12,11400.00
2019-01,11400.00
2019-02,11364.29
2019-03,11250.00
2019-04,11116.67
2019-05,11000.00
2019-06,11000.00
2019-07,11000.00
2019-08,10922.58
2019-09,10900.00
2019-10,10900.00
2019-11,10900.00
2019-12,10929.03
2020-01,11000.00
2020-02,11000.00
2020-03,11000.00
2020-04,11000.00
2020-05,11000.00
2020-06,11000.00
2020-07,11000.00
2020-08,11000.00
2020-09,11000.00
2020-10,11000.00
2020-11,11000.00
2020-12,11000.00
