time,precipitation_sum (mm)
2018-01-01,2.90
2018-01-02,11.50
2018-01-03,2.20
2018-01-04,30.80
2018-01-05,36.30
2018-01-06,89.30
2018-01-07,3.40
2018-01-08,0.30
2018-01-09,10.10
2018-01-10,10.40
2018-01-11,2.70
2018-01-12,4.50
2018-01-13,8.00
2018-01-14,1.90
2018-01-15,1.40
2018-01-16,9.20
2018-01-17,9.80
2018-01-18,17.60
2018-01-19,23.80
2018-01-20,14.70
2018-01-21,19.60
2018-01-22,9.40
2018-01-23,9.30
2018-01-24,9.20
2018-01-25,24.10
2018-01-26,6.70
2018-01-27,7.70
2018-01-28,14.10
2018-01-29,21.80
2018-01-30,17.90
2018-01-31,4.00
2018-02-01,12.10
2018-02-02,14.50
2018-02-03,24.80
2018-02-04,7.90
2018-02-05,5.00
2018-02-06,1.30
2018-02-07,11.30
2018-02-08,18.80
2018-02-09,8.30
2018-02-10,1.70
2018-02-11,6.90
2018-02-12,11.60
2018-02-13,15.90
2018-02-14,11.60
2018-02-15,35.70
2018-02-16,8.50
2018-02-17,1.00
2018-02-18,2.40
2018-02-19,8.60
2018-02-20,2.90
2018-02-21,11.30
2018-02-22,6.50
2018-02-23,12.60
2018-02-24,14.30
2018-02-25,3.50
2018-02-26,6.50
2018-02-27,3.30
2018-02-28,2.30
2018-03-01,8.10
2018-03-02,9.20
2018-03-03,1.50
2018-03-04,5.60
2018-03-05,13.30
2018-03-06,5.00
2018-03-07,12.30
2018-03-08,10.30
2018-03-09,7.20
2018-03-10,10.40
2018-03-11,6.10
2018-03-12,2.70
2018-03-13,2.10
2018-03-14,0.60
2018-03-15,0.60
2018-03-16,4.20
2018-03-17,12.00
2018-03-18,8.70
2018-03-19,3.20
2018-03-20,0.00
2018-03-21,1.00
2018-03-22,2.60
2018-03-23,1.10
2018-03-24,6.90
2018-03-25,33.10
2018-03-26,0.70
2018-03-27,2.10
2018-03-28,2.50
2018-03-29,0.00
2018-03-30,1.80
2018-03-31,7.10
2018-04-01,1.00
2018-04-02,6.50
2018-04-03,1.90
2018-04-04,1.70
2018-04-05,4.70
2018-04-06,1.80
2018-04-07,7.90
2018-04-08,0.90
2018-04-09,2.10
2018-04-10,0.10
2018-04-11,4.70
2018-04-12,7.80
2018-04-13,6.70
2018-04-14,3.50
2018-04-15,4.00
2018-04-16,3.00
2018-04-17,17.40
2018-04-18,2.10
2018-04-19,2.20
2018-04-20,4.30
2018-04-21,6.10
2018-04-22,8.60
2018-04-23,5.60
2018-04-24,3.10
2018-04-25,1.60
2018-04-26,0.20
2018-04-27,0.00
2018-04-28,0.60
2018-04-29,0.10
2018-04-30,0.10
2018-05-01,0.00
2018-05-02,0.10
2018-05-03,0.00
2018-05-04,0.00
2018-05-05,0.00
2018-05-06,0.00
2018-05-07,0.00
2018-05-08,0.00
2018-05-09,0.10
2018-05-10,0.00
2018-05-11,0.10
2018-05-12,0.40
2018-05-13,0.00
2018-05-14,0.00
2018-05-15,3.30
2018-05-16,4.20
2018-05-17,6.20
2018-05-18,0.60
2018-05-19,7.00
2018-05-20,0.50
2018-05-21,4.50
2018-05-22,0.50
2018-05-23,5.00
2018-05-24,16.50
2018-05-25,3.80
2018-05-26,2.00
2018-05-27,0.00
2018-05-28,0.00
2018-05-29,0.00
2018-05-30,0.00
2018-05-31,0.00
2018-06-01,0.00
2018-06-02,0.00
2018-06-03,0.70
2018-06-04,0.20
2018-06-05,0.80
2018-06-06,0.10
2018-06-07,0.00
2018-06-08,0.30
2018-06-09,0.00
2018-06-10,0.20
2018-06-11,2.10
2018-06-12,2.10
2018-06-13,0.30
2018-06-14,0.10
2018-06-15,0.10
2018-06-16,0.00
2018-06-17,0.00
2018-06-18,0.00
2018-06-19,1.90
2018-06-20,4.10
2018-06-21,1.70
2018-06-22,2.80
2018-06-23,6.10
2018-06-24,1.60
2018-06-25,4.30
2018-06-26,0.10
2018-06-27,0.30
2018-06-28,0.40
2018-06-29,0.50
2018-06-30,0.20
2018-07-01,0.00
2018-07-02,0.00
2018-07-03,0.00
2018-07-04,3.30
2018-07-05,0.00
2018-07-06,0.00
2018-07-07,0.00
2018-07-08,0.20
2018-07-09,0.00
2018-07-10,0.00
2018-07-11,0.20
2018-07-12,0.20
2018-07-13,1.00
2018-07-14,1.00
2018-07-15,0.40
2018-07-16,0.00
2018-07-17,0.00
2018-07-18,0.00
2018-07-19,0.00
2018-07-20,0.00
2018-07-21,0.20
2018-07-22,0.00
2018-07-23,0.50
2018-07-24,0.00
2018-07-25,0.00
2018-07-26,0.00
2018-07-27,0.00
2018-07-28,0.70
2018-07-29,0.50
2018-07-30,0.00
2018-07-31,0.20
2018-08-01,0.90
2018-08-02,0.40
2018-08-03,0.70
2018-08-04,1.10
2018-08-05,0.90
2018-08-06,0.00
2018-08-07,0.00
2018-08-08,0.50
2018-08-09,0.20
2018-08-10,3.00
2018-08-11,0.30
2018-08-12,0.20
2018-08-13,0.30
2018-08-14,0.00
2018-08-15,0.10
2018-08-16,0.00
2018-08-17,0.10
2018-08-18,0.20
2018-08-19,0.00
2018-08-20,0.00
2018-08-21,0.90
2018-08-22,0.40
2018-08-23,0.60
2018-08-24,0.00
2018-08-25,0.00
2018-08-26,0.00
2018-08-27,0.30
2018-08-28,1.30
2018-08-29,1.80
2018-08-30,1.30
2018-08-31,2.40
2018-09-01,3.10
2018-09-02,0.50
2018-09-03,1.20
2018-09-04,0.30
2018-09-05,5.10
2018-09-06,2.60
2018-09-07,1.90
2018-09-08,0.80
2018-09-09,0.20
2018-09-10,0.30
2018-09-11,1.00
2018-09-12,4.20
2018-09-13,0.30
2018-09-14,0.80
2018-09-15,0.50
2018-09-16,1.70
2018-09-17,3.20
2018-09-18,4.40
2018-09-19,1.20
2018-09-20,0.40
2018-09-21,0.80
2018-09-22,0.00
2018-09-23,0.50
2018-09-24,0.30
2018-09-25,2.00
2018-09-26,0.70
2018-09-27,0.20
2018-09-28,0.00
2018-09-29,0.50
2018-09-30,1.10
2018-10-01,1.40
2018-10-02,0.00
2018-10-03,1.10
2018-10-04,0.00
2018-10-05,0.00
2018-10-06,0.40
2018-10-07,0.60
2018-10-08,0.00
2018-10-09,0.40
2018-10-10,0.30
2018-10-11,1.10
2018-10-12,0.50
2018-10-13,1.40
2018-10-14,0.60
2018-10-15,3.00
2018-10-16,1.00
2018-10-17,0.50
2018-10-18,1.20
2018-10-19,3.30
2018-10-20,2.70
2018-10-21,1.40
2018-10-22,3.20
2018-10-23,0.60
2018-10-24,0.90
2018-10-25,2.00
2018-10-26,1.90
2018-10-27,2.50
2018-10-28,2.20
2018-10-29,0.00
2018-10-30,2.30
2018-10-31,0.40
2018-11-01,2.10
2018-11-02,0.20
2018-11-03,5.30
2018-11-04,1.00
2018-11-05,4.10
2018-11-06,7.60
2018-11-07,49.40
2018-11-08,193.80
2018-11-09,9.80
2018-11-10,20.00
2018-11-11,13.40
2018-11-12,21.20
2018-11-13,10.80
2018-11-14,24.80
2018-11-15,7.20
2018-11-16,6.40
2018-11-17,4.70
2018-11-18,2.70
2018-11-19,0.20
2018-11-20,1.20
2018-11-21,1.50
2018-11-22,3.50
2018-11-23,2.80
2018-11-24,0.70
2018-11-25,6.50
2018-11-26,15.20
2018-11-27,13.50
2018-11-28,12.90
2018-11-29,12.20
2018-11-30,2.80
2018-12-01,0.20
2018-12-02,2.30
2018-12-03,16.50
2018-12-04,14.80
2018-12-05,23.10
2018-12-06,6.30
2018-12-07,15.70
2018-12-08,9.10
2018-12-09,8.30
2018-12-10,21.10
2018-12-11,6.10
2018-12-12,1.90
2018-12-13,0.50
2018-12-14,16.40
2018-12-15,9.90
2018-12-16,8.80
2018-12-17,1.80
2018-12-18,0.50
2018-12-19,4.60
2018-12-20,18.80
2018-12-21,1.80
2018-12-22,1.80
2018-12-23,4.90
2018-12-24,9.40
2018-12-25,19.40
2018-12-26,12.00
2018-12-27,3.30
2018-12-28,1.70
2018-12-29,5.30
2018-12-30,12.50
2018-12-31,12.20
2019-01-01,5.30
2019-01-02,19.40
2019-01-03,13.80
2019-01-04,12.20
2019-01-05,4.70
2019-01-06,4.20
2019-01-07,3.90
2019-01-08,3.20
2019-01-09,12.70
2019-01-10,2.20
2019-01-11,7.30
2019-01-12,2.70
2019-01-13,13.10
2019-01-14,13.50
2019-01-15,12.60
2019-01-16,51.70
2019-01-17,26.30
2019-01-18,41.30
2019-01-19,9.20
2019-01-20,16.40
2019-01-21,14.10
2019-01-22,18.00
2019-01-23,3.00
2019-01-24,12.90
2019-01-25,21.80
2019-01-26,8.00
2019-01-27,10.10
2019-01-28,17.80
2019-01-29,5.00
2019-01-30,15.60
2019-01-31,45.30
2019-02-01,4.30
2019-02-02,3.20
2019-02-03,8.30
2019-02-04,8.80
2019-02-05,8.40
2019-02-06,3.60
