bulan,total_curah_hujan
2018-01,434.60
2018-02,271.10
2018-03,182.00
2018-04,110.30
2018-05,54.80
2018-06,31.00
2018-07,8.40
2018-08,17.90
2018-09,39.80
2018-10,36.90
2018-11,457.50
2018-12,271.00
2019-01,447.30
2019-02,343.50
2019-03,423.40
2019-04,214.70
2019-05,47.30
2019-06,6.40
2019-07,7.40
2019-08,5.00
2019-09,3.30
2019-10,35.00
2019-11,123.10
2019-12,311.30
2020-01,239.70
2020-02,302.10
2020-03,548.10
2020-04,210.80
2020-05,187.30
2020-06,72.90
2020-07,23.00
2020-08,43.40
2020-09,68.20
2020-10,248.50
2020-11,452.00
2020-12,399.80
2021-01,358.50
2021-02,486.30
2021-03,206.60
2021-04,168.00
2021-05,74.40
2021-06,327.80
2021-07,30.70
2021-08,50.20
2021-09,125.30
2021-10,173.60
2021-11,509.00
2021-12,314.20
2022-01,279.30
2022-02,280.10
2022-03,345.40
2022-04,357.50
2022-05,252.40
2022-06,231.30
2022-07,65.40
2022-08,115.70
2022-09,198.40
2022-10,403.90
2022-11,505.60
2022-12,359.90
2023-01,215.30
2023-02,459.60
2023-03,321.80
2023-04,236.30
2023-05,110.20
2023-06,62.10
2023-07,63.80
2023-08,6.20
2023-09,13.70
2023-10,40.80
2023-11,165.30
2023-12,154.50
2024-01,391.90
2024-02,287.70
2024-03,303.90
2024-04,312.80
2024-05,135.50
2024-06,53.90
2024-07,44.00
2024-08,25.90
2024-09,86.00
2024-10,110.60
2024-11,384.40
2024-12,381.60
2025-01,266.60
2025-02,280.00
2025-03,262.80
2025-04,212.30
2025-05,406.90
2025-06,166.40
2025-07,66.20
2025-08,128.80
2025-09,159.90
2025-10,345.90
2025-11,408.90
2025-12,193.00
2026-01,331.20
2026-02,304.00
2026-03,259.20
2026-04,248.00
2026-05,134.90
