tanggal,tahun,curah_hujan
2021-01-01,2021,357.44
2021-02-01,2021,667.13
2021-03-01,2021,217.58
2021-04-01,2021,173.56
2021-05-01,2021,130.15
2021-06-01,2021,186.10
2021-07-01,2021,21.88
2021-08-01,2021,78.86
2021-09-01,2021,166.60
2021-10-01,2021,146.03
2021-11-01,2021,377.97
2021-12-01,2021,333.68
2022-01-01,2022,245.91
2022-02-01,2022,291.86
2022-03-01,2022,262.55
2022-04-01,2022,211.41
2022-05-01,2022,201.05
2022-06-01,2022,231.53
2022-07-01,2022,122.11
2022-08-01,2022,73.97
2022-09-01,2022,136.50
2022-10-01,2022,255.68
2022-11-01,2022,275.00
2022-12-01,2022,387.45
2023-01-01,2023,238.53
2023-02-01,2023,370.05
2023-03-01,2023,216.34
2023-04-01,2023,187.27
2023-05-01,2023,111.81
2023-06-01,2023,90.31
2023-07-01,2023,90.99
2023-08-01,2023,13.39
2023-09-01,2023,6.30
2023-10-01,2023,18.80
2023-11-01,2023,218.93
2023-12-01,2023,296.90
2024-01-01,2024,338.13
2024-02-01,2024,268.18
2024-03-01,2024,391.77
2024-04-01,2024,315.35
2024-05-01,2024,52.60
2024-06-01,2024,166.51
2024-07-01,2024,32.31
2024-08-01,2024,24.91
2024-09-01,2024,194.74
2024-10-01,2024,120.45
2024-11-01,2024,349.01
2024-12-01,2024,323.66
2025-01-01,2025,343.18
2025-02-01,2025,278.22
2025-03-01,2025,282.14
2025-04-01,2025,172.95
2025-05-01,2025,424.93
2025-06-01,2025,164.71
2025-07-01,2025,35.50
2025-08-01,2025,108.65
2025-09-01,2025,175.28
2025-10-01,2025,324.11
2025-11-01,2025,312.22
