Komoditas,Tahun,Bulan,Harga
GKG Tingkat Penggilingan (Rp/Kg),2019,Januari,"5,756"
GKG Tingkat Penggilingan (Rp/Kg),2019,Februari,"5,709"
GKG Tingkat Penggilingan (Rp/Kg),2019,Maret,"5,492"
GKG Tingkat Penggilingan (Rp/Kg),2019,April,"5,301"
GKG Tingkat Penggilingan (Rp/Kg),2019,Mei,"5,267"
GKG Tingkat Penggilingan (Rp/Kg),2019,Juni,"5,294"
GKG Tingkat Penggilingan (Rp/Kg),2019,Juli,"5,368"
GKG Tingkat Penggilingan (Rp/Kg),2019,Agustus,"5,437"
GKG Tingkat Penggilingan (Rp/Kg),2019,September,"5,505"
GKG Tingkat Penggilingan (Rp/Kg),2019,Oktober,"5,581"
GKG Tingkat Penggilingan (Rp/Kg),2019,November,"5,638"
GKG Tingkat Penggilingan (Rp/Kg),2019,Desember,"5,688"
GKG Tingkat Penggilingan (Rp/Kg),2020,Januari,"5,756"
GKG Tingkat Penggilingan (Rp/Kg),2020,Februari,"5,716"
GKG Tingkat Penggilingan (Rp/Kg),2020,Maret,"5,496"
GKG Tingkat Penggilingan (Rp/Kg),2020,April,"5,294"
GKG Tingkat Penggilingan (Rp/Kg),2020,Mei,"5,268"
GKG Tingkat Penggilingan (Rp/Kg),2020,Juni,"5,439"
GKG Tingkat Penggilingan (Rp/Kg),2020,Juli,"5,457"
GKG Tingkat Penggilingan (Rp/Kg),2020,Agustus,"5,488"
GKG Tingkat Penggilingan (Rp/Kg),2020,September,"5,516"
GKG Tingkat Penggilingan (Rp/Kg),2020,Oktober,"5,541"
GKG Tingkat Penggilingan (Rp/Kg),2020,November,"5,523"
GKG Tingkat Penggilingan (Rp/Kg),2020,Desember,"5,547"
GKG Tingkat Penggilingan (Rp/Kg),2021,Januari,"5,381"
GKG Tingkat Penggilingan (Rp/Kg),2021,Februari,"5,437"
GKG Tingkat Penggilingan (Rp/Kg),2021,Maret,"5,360"
GKG Tingkat Penggilingan (Rp/Kg),2021,April,"5,242"
GKG Tingkat Penggilingan (Rp/Kg),2021,Mei,"5,222"
GKG Tingkat Penggilingan (Rp/Kg),2021,Juni,"5,190"
GKG Tingkat Penggilingan (Rp/Kg),2021,Juli,"5,092"
GKG Tingkat Penggilingan (Rp/Kg),2021,Agustus,"5,140"
GKG Tingkat Penggilingan (Rp/Kg),2021,September,"5,127"
GKG Tingkat Penggilingan (Rp/Kg),2021,Oktober,"5,144"
GKG Tingkat Penggilingan (Rp/Kg),2021,November,"5,186"
GKG Tingkat Penggilingan (Rp/Kg),2021,Desember,"5,212"
GKG Tingkat Penggilingan (Rp/Kg),2022,Januari,"5,431"
GKG Tingkat Penggilingan (Rp/Kg),2022,Februari,"5,503"
GKG Tingkat Penggilingan (Rp/Kg),2022,Maret,"5,416"
GKG Tingkat Penggilingan (Rp/Kg),2022,April,"5,327"
GKG Tingkat Penggilingan (Rp/Kg),2022,Mei,"5,294"
GKG Tingkat Penggilingan (Rp/Kg),2022,Juni,"5,250"
GKG Tingkat Penggilingan (Rp/Kg),2022,Juli,"5,311"
GKG Tingkat Penggilingan (Rp/Kg),2022,Agustus,"5,471"
GKG Tingkat Penggilingan (Rp/Kg),2022,september,"5,614"
GKG Tingkat Penggilingan (Rp/Kg),2022,Oktober,"5,724"
GKG Tingkat Penggilingan (Rp/Kg),2022,November,"5,773"
GKG Tingkat Penggilingan (Rp/Kg),2022,Desember,"6,205"
GKG Tingkat Penggilingan (Rp/Kg),2023,Januari,"6,391"
GKG Tingkat Penggilingan (Rp/Kg),2023,Februari,"6,420"
GKG Tingkat Penggilingan (Rp/Kg),2023,Maret,"6,188"
GKG Tingkat Penggilingan (Rp/Kg),2023,April,"6,186"
GKG Tingkat Penggilingan (Rp/Kg),2023,Mei,"6,244"
GKG Tingkat Penggilingan (Rp/Kg),2023,Juni,"6,302"
GKG Tingkat Penggilingan (Rp/Kg),2023,Juli,"6,369"
GKG Tingkat Penggilingan (Rp/Kg),2023,Agustus,"6,408"
GKG Tingkat Penggilingan (Rp/Kg),2023,September,"7,272"
GKG Tingkat Penggilingan (Rp/Kg),2023,Oktober,"6,674"
GKG Tingkat Penggilingan (Rp/Kg),2023,November,"7,676"
