Kriteria,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Harga Gabah Kering Panen (GKP) (Rp/Kg),5452.72,5221.57,4706.34,4446.29,4445.88,4655.85,4712.46,4855.5,5011.52,5119.25,5203.31,5313.24,-
Harga Gabah Kering Giling (GKG) (Rp/Kg),5902.62,5951.96,5654.01,5221.35,5298.2,5360.9,5384.75,5423.16,5521.89,5622.16,5728.03,5886.34,-
Harga Gabah Luar Kualitas (Rp/Kg),4800.07,4721.43,4393.47,4118.83,4118.51,4287.65,4360.18,4642.63,4750,4828.09,4737.55,4721.33,-
Kadar Air - Gabah Kering Panen (GKP) (%),18.24,18.34,19.82,19.44,19.01,18.48,19.27,19.04,18.86,18.27,18.21,18.05,-
Kadar Air - Gabah Kering Giling (GKG) (%),12.76,12.92,12.81,13,12.52,12.93,13.06,12.65,12.53,12.71,12.71,12.72,-
Kadar Air - Gabah Luar Kualitas (%),25.95,26.69,25.7,24.92,24.79,24.04,25.55,24.56,24.62,24.82,24.72,24.59,-
Kadar Hampa/Kotoran - Gabah Kering Panen (GKP) (%),4.91,5.09,4.92,4.91,5.32,5.21,4.82,4.67,4.81,5.24,5.05,4.92,-
Kadar Hampa/Kotoran - Gabah Kering Giling (GKG) (%),2.27,2.35,2.45,2.28,2.3,2.34,2.44,2.37,2.31,2.31,2.23,2.17,-
Kadar Hampa/Kotoran - Gabah Luar Kualitas (%),11.45,10.77,11.15,11.9,11.52,10.27,10.79,10.55,12.14,10.31,10.05,11.77,-
Harga Pembelian Pemerintah (HPP) - Gabah Kering Panen (GKP) (Rp/Kg),3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,-
Harga Pembelian Pemerintah (HPP) - Gabah Kering Giling (GKG) (Rp/Kg),4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,-
Harga Pembelian Pemerintah (HPP) (Rp/Kg),-,-,-,-,-,-,-,-,-,-,-,-,-
