Date,Harga,Source
2018-01-01,6018.690838608953,BPS (Calibrated)
2018-02-01,6014.04276652853,BPS (Calibrated)
2018-03-01,5481.646077214895,BPS (Calibrated)
2018-04-01,5296.088329172034,BPS (Calibrated)
2018-05-01,5302.680499341295,BPS (Calibrated)
2018-06-01,5396.0662872331,BPS (Calibrated)
2018-07-01,5242.689777097369,BPS (Calibrated)
2018-08-01,5328.901152245081,BPS (Calibrated)
2018-09-01,5428.20805106736,BPS (Calibrated)
2018-10-01,5494.43567682472,BPS (Calibrated)
2018-11-01,5678.069063815176,BPS (Calibrated)
2018-12-01,5741.503898916995,BPS (Calibrated)
2019-01-01,5756.0,BAPANAS
2019-02-01,5709.0,BAPANAS
2019-03-01,5492.0,BAPANAS
2019-04-01,5301.0,BAPANAS
2019-05-01,5267.0,BAPANAS
2019-06-01,5294.0,BAPANAS
2019-07-01,5368.0,BAPANAS
2019-08-01,5437.0,BAPANAS
2019-09-01,5505.0,BAPANAS
2019-10-01,5581.0,BAPANAS
2019-11-01,5638.0,BAPANAS
2019-12-01,5688.0,BAPANAS
2020-01-01,5756.0,BAPANAS
2020-02-01,5716.0,BAPANAS
2020-03-01,5496.0,BAPANAS
2020-04-01,5294.0,BAPANAS
2020-05-01,5268.0,BAPANAS
2020-06-01,5439.0,BAPANAS
2020-07-01,5457.0,BAPANAS
2020-08-01,5488.0,BAPANAS
2020-09-01,5516.0,BAPANAS
2020-10-01,5541.0,BAPANAS
2020-11-01,5523.0,BAPANAS
2020-12-01,5547.0,BAPANAS
2021-01-01,5381.0,BAPANAS
2021-02-01,5437.0,BAPANAS
2021-03-01,5360.0,BAPANAS
2021-04-01,5242.0,BAPANAS
2021-05-01,5222.0,BAPANAS
2021-06-01,5190.0,BAPANAS
2021-07-01,5092.0,BAPANAS
2021-08-01,5140.0,BAPANAS
2021-09-01,5127.0,BAPANAS
2021-10-01,5144.0,BAPANAS
2021-11-01,5186.0,BAPANAS
2021-12-01,5212.0,BAPANAS
2022-01-01,5431.0,BAPANAS
2022-02-01,5503.0,BAPANAS
2022-03-01,5416.0,BAPANAS
2022-04-01,5327.0,BAPANAS
2022-05-01,5294.0,BAPANAS
2022-06-01,5250.0,BAPANAS
2022-07-01,5311.0,BAPANAS
2022-08-01,5471.0,BAPANAS
2022-09-01,5725.576110514018,BPS (Calibrated)
2022-10-01,5724.0,BAPANAS
2022-11-01,5773.0,BAPANAS
2022-12-01,6205.0,BAPANAS
2023-01-01,6391.0,BAPANAS
2023-02-01,6420.0,BAPANAS
2023-03-01,6188.0,BAPANAS
2023-04-01,6186.0,BAPANAS
2023-05-01,6244.0,BAPANAS
2023-06-01,6302.0,BAPANAS
2023-07-01,6369.0,BAPANAS
2023-08-01,6408.0,BAPANAS
2023-09-01,7272.0,BAPANAS
2023-10-01,6674.0,BAPANAS
2023-11-01,7676.0,BAPANAS
2023-12-01,7701.0,BAPANAS
2024-01-01,7845.0,BAPANAS
2024-02-01,8204.0,BAPANAS
2024-03-01,7968.0,BAPANAS
2024-04-01,7142.0,BAPANAS
2024-05-01,6973.0,BAPANAS
2024-06-01,7087.0,BAPANAS
2024-07-01,7284.0,BAPANAS
2024-08-01,7374.0,BAPANAS
2024-09-01,7400.0,BAPANAS
2024-10-01,7381.0,BAPANAS
2024-11-01,7320.0,BAPANAS
2024-12-01,7398.0,BAPANAS
2025-01-01,7577.0,BAPANAS
2025-02-01,7660.0,BAPANAS
2025-03-01,7720.0,BAPANAS
2025-04-01,7656.0,BAPANAS
2025-05-01,7717.0,BAPANAS
2025-06-01,7855.0,BAPANAS
2025-07-01,7778.0,BAPANAS
2025-08-01,8042.0,BAPANAS
2025-09-01,7958.0,BAPANAS
2025-10-01,7956.0,BAPANAS
2025-11-01,7869.0,BAPANAS
2025-12-01,7953.0,BAPANAS
2026-01-01,7980.0,BAPANAS
2026-02-01,7954.0,BAPANAS
2026-03-01,7936.0,BAPANAS
2026-04-01,7937.0,BAPANAS
2026-05-01,8039.0,BAPANAS
