tahun,bulan,produksi_padi
2018,1,30560.52
2018,2,81111.34
2018,3,85621.12
2018,4,49898.8
2018,5,40895.61
2018,6,71465.93
2018,7,53152.58
2018,8,35049.15
2018,9,17337.82
2018,10,12907.09
2018,11,18079.41
2018,12,18856.12
2019,1,50891.32
2019,2,33272.85
2019,3,155051.86
2019,4,73085.68
2019,5,24783.93
2019,6,41329.9
2019,7,53987.13
2019,8,47115.33
2019,9,15223.98
2019,10,8840.05
2019,11,9244.21
2019,12,20651.16
2020,1,24309.15
2020,2,26964.98
2020,3,107599.81
2020,4,117216.88
2020,5,41119.25
2020,6,33937.73
2020,7,57103.21
2020,8,45904.57
2020,9,23746.73
2020,10,14878.73
2020,11,12743.87
2020,12,17871.04
